-,-,-,-,-,n,i,p,_,r,e,p,o,r,t,4,7,-,-,-,-,-
session_id,transaction_date,response_code,amount
000001230106220218000217609452,2023-01-06 22:00:41,00,3900.00
000001230106220219000217609454,2023-01-06 22:00:46,00,70000.00
000001230106220219000217609455,2023-01-06 22:00:40,00,150000.00
000001230106220219019502221644,2023-01-06 22:02:31,00,30000.00
000001230106220221000217579617,2023-01-06 22:00:42,00,3000.00
000001230106220221000217609456,2023-01-06 22:00:43,00,9300.00
000001230106220221000217609457,2023-01-06 22:00:46,00,3000.00
000001230106220223023902752391,2023-01-06 22:02:35,00,1000000.00
000001230106220224000217609459,2023-01-06 22:00:45,00,500000.00
000001230106220226000217609440,2023-01-06 22:00:47,00,500.00
000001230106220227000217579757,2023-01-06 22:00:49,00,50000.00
000001230106220227000217609460,2023-01-06 22:00:49,00,4600.00
000001230106220227000217609461,2023-01-06 22:00:48,00,114000.00
000001230106220227000217609462,2023-01-06 22:00:47,00,5000.00
000001230106220227000217609463,2023-01-06 22:00:50,00,11000.00
000001230106220228000217609445,2023-01-06 22:00:49,00,7000.00
000001230106220228000217609464,2023-01-06 22:00:49,00,30000.00
000001230106220230000217609466,2023-01-06 22:00:58,00,3000.00
000001230106220230083302930722,2023-01-06 22:02:40,00,17000.00
000001230106220231000217609467,2023-01-06 22:00:53,00,1600.00
000001230106220232000217609465,2023-01-06 22:00:55,00,420.00
000001230106220232000217609471,2023-01-06 22:00:54,00,2500.00
000001230106220233000217579765,2023-01-06 22:00:56,00,500.00
000001230106220233000217609470,2023-01-06 22:00:55,00,30000.00
000001230106220233000217609472,2023-01-06 22:00:55,00,100.00
000001230106220233000217609473,2023-01-06 22:00:55,00,8000.00
000001230106220234000217609469,2023-01-06 22:00:58,00,6000.00
000001230106220234000217609474,2023-01-06 22:00:56,00,100000.00
000001230106220234000217609475,2023-01-06 22:00:58,00,22300.00
000001230106220234000217609476,2023-01-06 22:01:01,00,2700.00
000001230106220235000217609478,2023-01-06 22:00:57,00,200.00
000001230106220235000217609479,2023-01-06 22:00:58,00,600000.00
000001230106220235030902554108,2023-01-06 22:02:50,00,40000.00
000001230106220236000217609483,2023-01-06 22:00:59,00,3000.00
000001230106220239000217609481,2023-01-06 22:01:01,00,20000.00
000001230106220239000217609484,2023-01-06 22:01:02,00,15000.00
000001230106220239000217609486,2023-01-06 22:01:04,00,3000.00
000001230106220239000217609488,2023-01-06 22:01:02,00,2000.00
000001230106220239000217609489,2023-01-06 22:01:00,00,2000.00
000001230106220239000217609492,2023-01-06 22:01:03,00,2500.00
000001230106220239000217609493,2023-01-06 22:01:05,00,4750.00
000001230106220239000217609495,2023-01-06 22:01:01,00,1500.00
000001230106220239000217609497,2023-01-06 22:01:01,00,5400.00
000001230106220239000217609501,2023-01-06 22:01:02,00,1000.00
000001230106220239000217609502,2023-01-06 22:01:01,00,3000.00
000001230106220239000217609503,2023-01-06 22:01:06,00,90000.00
000001230106220239000217609507,2023-01-06 22:01:02,00,20000.00
000001230106220239040302540464,2023-01-06 22:04:26,00,20000.00
000001230106220240000217579790,2023-01-06 22:01:01,00,2000.00
000001230106220240000217609468,2023-01-06 22:01:02,00,15000.00
000001230106220240000217609491,2023-01-06 22:01:02,00,10000.00
000001230106220240000217609506,2023-01-06 22:01:02,00,3000.00
000001230106220240000217609508,2023-01-06 22:01:02,00,40000.00
000001230106220240000217609509,2023-01-06 22:01:03,00,2500.00
000001230106220240000217609511,2023-01-06 22:01:03,00,11400.00
000001230106220241000217609515,2023-01-06 22:01:02,00,37000.00
000001230106220242000217609504,2023-01-06 22:01:08,00,1000.00
000001230106220242000217609516,2023-01-06 22:01:07,00,16500.00
000001230106220242000217609518,2023-01-06 22:01:08,00,25000.00
000001230106220243000217609477,2023-01-06 22:01:05,00,1000000.00
000001230106220243000217609519,2023-01-06 22:01:05,00,15000.00
000001230106220243000217609522,2023-01-06 22:01:05,00,600.00
000001230106220244000217609523,2023-01-06 22:01:07,00,2000.00
000001230106220245000217579885,2023-01-06 22:01:08,00,20000.00
000001230106220245000217609525,2023-01-06 22:01:11,00,20000.00
000001230106220246000217609496,2023-01-06 22:01:08,00,110000.00
000001230106220246000217609521,2023-01-06 22:01:07,00,3000.00
000001230106220246000217609524,2023-01-06 22:01:11,00,50000.00
000001230106220247000217609482,2023-01-06 22:01:09,00,20000.00
000001230106220247000217609500,2023-01-06 22:01:11,00,2500.00
000001230106220247000217609513,2023-01-06 22:01:11,00,756467.00
000001230106220247000217609528,2023-01-06 22:01:08,00,10000.00
000001230106220247000217609530,2023-01-06 22:01:08,00,10000.00
000001230106220247000217609531,2023-01-06 22:01:08,00,20000.00
000001230106220248000217609535,2023-01-06 22:01:10,00,3000.00
000001230106220248000217609536,2023-01-06 22:01:11,00,700.00
000001230106220248037002693757,2023-01-06 22:03:01,00,300.00
000001230106220249000217609532,2023-01-06 22:01:11,00,2100.00
000001230106220249000217609537,2023-01-06 22:01:10,00,16000.00
000001230106220250000217609485,2023-01-06 22:01:12,00,15000.00
000001230106220250000217609529,2023-01-06 22:01:12,00,2800.00
000001230106220250000217609539,2023-01-06 22:01:12,00,5000.00
000001230106220252000217579946,2023-01-06 22:01:14,00,150000.00
000001230106220252000217609498,2023-01-06 22:01:13,00,5000.00
000001230106220254000217609487,2023-01-06 22:01:15,00,1000.00
000001230106220254000217609543,2023-01-06 22:01:15,00,15000.00
000001230106220254000217609545,2023-01-06 22:01:16,00,5000.00
000001230106220255000217609510,2023-01-06 22:01:17,00,2100.00
000001230106220255000217609534,2023-01-06 22:01:17,00,2100.00
000001230106220255000217609546,2023-01-06 22:01:18,00,229000.00
000001230106220255000217609547,2023-01-06 22:01:19,00,15000.00
000001230106220255000217609549,2023-01-06 22:01:17,00,10000.00
000001230106220256000217609550,2023-01-06 22:01:20,00,7000.00
000001230106220257000217609551,2023-01-06 22:01:18,00,2000.00
000001230106220257000217609553,2023-01-06 22:01:21,00,350000.00
000001230106220257000217609554,2023-01-06 22:01:18,00,3000.00
000001230106220258000217579953,2023-01-06 22:01:18,00,5000.00
000001230106220258000217609540,2023-01-06 22:01:19,00,3000.00
000001230106220258000217609557,2023-01-06 22:01:20,00,500.00
000001230106220301000217609542,2023-01-06 22:01:23,00,1000.00
000001230106220301000217609558,2023-01-06 22:01:22,00,19855.00
000001230106220301000217609559,2023-01-06 22:01:23,00,100000.00
000001230106220301000217609560,2023-01-06 22:01:22,00,3500.00
000001230106220301000217609562,2023-01-06 22:01:22,00,300000.00
000001230106220302000217609552,2023-01-06 22:01:26,00,5000.00
000001230106220302000217609563,2023-01-06 22:01:28,00,2000.00
000001230106220303000217579990,2023-01-06 22:01:25,00,3000.00
000001230106220303000217609565,2023-01-06 22:01:26,00,9000.00
000001230106220303000217609566,2023-01-06 22:01:25,00,20000.00
000001230106220304000217609541,2023-01-06 22:01:25,00,300.00
000001230106220304000217609569,2023-01-06 22:01:27,00,4000.00
000001230106220306000217609568,2023-01-06 22:01:28,00,103000.00
000001230106220306000217609571,2023-01-06 22:01:28,00,800.00
000001230106220306000217609572,2023-01-06 22:01:28,00,5000.00
000001230106220306000217609574,2023-01-06 22:01:27,00,2500.00
000001230106220307000217609561,2023-01-06 22:01:30,00,1500.00
000001230106220307000217609564,2023-01-06 22:01:28,00,60000.00
000001230106220307000217609575,2023-01-06 22:01:28,00,180000.00
000001230106220307000217609576,2023-01-06 22:01:28,00,5000.00
000001230106220307000217609578,2023-01-06 22:01:29,00,2000.00
000001230106220308000217609580,2023-01-06 22:01:32,00,20000.00
000001230106220309000217580022,2023-01-06 22:01:31,00,21000.00
000001230106220309000217609567,2023-01-06 22:01:30,00,20000.00
000001230106220309000217609579,2023-01-06 22:01:34,00,28500.00
000001230106220309000217609585,2023-01-06 22:01:31,00,2000.00
000001230106220310000217609584,2023-01-06 22:01:30,00,530.00
000001230106220310000217609586,2023-01-06 22:01:32,00,100000.00
000001230106220310000217609588,2023-01-06 22:01:32,00,100000.00
000001230106220312000217609587,2023-01-06 22:01:34,00,3000.00
000001230106220312000217609590,2023-01-06 22:01:36,00,5000.00
000001230106220312000217609591,2023-01-06 22:01:34,00,400.00
000001230106220313000217609570,2023-01-06 22:01:38,00,9000.00
000001230106220314000217609594,2023-01-06 22:01:40,00,20000.00
000001230106220315000217580077,2023-01-06 22:01:37,00,3000.00
000001230106220315000217609595,2023-01-06 22:01:36,00,8000.00
000001230106220317000217609596,2023-01-06 22:01:38,00,600.00
000001230106220318000217609589,2023-01-06 22:01:40,00,25000.00
000001230106220319000217609593,2023-01-06 22:01:40,00,3000.00
000001230106220319000217609597,2023-01-06 22:01:40,00,1000.00
000001230106220319048602945860,2023-01-06 22:03:32,00,5800.00
000001230106220322000217580130,2023-01-06 22:01:44,00,15000.00
000001230106220323000217609600,2023-01-06 22:01:44,00,20000.00
000001230106220323000217609601,2023-01-06 22:01:44,00,9700.00
000001230106220323000217609602,2023-01-06 22:01:45,00,2000.00
000001230106220323000217609603,2023-01-06 22:01:46,00,11000.00
000001230106220324000217609604,2023-01-06 22:01:48,00,2000.00
000001230106220324000217609605,2023-01-06 22:01:47,00,5000.00
000001230106220324000217609607,2023-01-06 22:01:45,00,6000.00
000001230106220324000217609608,2023-01-06 22:01:45,00,900.00
000001230106220325000217609611,2023-01-06 22:01:47,00,2000.00
000001230106220326000217609614,2023-01-06 22:01:53,00,10000.00
000001230106220327000217609616,2023-01-06 22:01:49,00,6500.00
000001230106220328000217580245,2023-01-06 22:01:52,00,40000.00
000001230106220328000217609617,2023-01-06 22:01:50,00,7200.00
000001230106220328000217609620,2023-01-06 22:01:50,00,2000.00
000001230106220328010302720242,2023-01-06 22:03:43,00,4100.00
000001230106220329000217609621,2023-01-06 22:01:50,00,50000.00
000001230106220329000217609622,2023-01-06 22:01:51,00,5000.00
