- - - - - n i p _ s e t t l e m e n t - - - - -
session_id request_time response_code amount
000001230529000656000263110746 "2023-05-29 00:05:21" 00 300000.00
000001230529000658000263110747 "2023-05-29 00:05:22" 00 4000.00
000001230529000658000263110748 "2023-05-29 00:05:22" 00 1500.00
000001230529000702000263110749 "2023-05-29 00:05:26" 00 460.00
000001230529000703000263110750 "2023-05-29 00:05:31" 00 1500.00
000001230529000703000263110751 "2023-05-29 00:05:28" 00 200.00
000001230529000703000263110752 "2023-05-29 00:05:25" 00 8000.00
000001230529000706000263110753 "2023-05-29 00:05:31" 00 700.00
000001230529000706000263110754 "2023-05-29 00:05:31" 00 1500.00
000001230529000707000263110756 "2023-05-29 00:05:30" 00 800.00
000001230529000707000263110757 "2023-05-29 00:05:30" 00 7000.00
000001230529000709000263110758 "2023-05-29 00:05:30" 00 500.00
000001230529000709000263110759 "2023-05-29 00:05:31" 00 5000.00
000001230529000710000263110755 "2023-05-29 00:05:35" 00 2000.00
000001230529000710000263110760 "2023-05-29 00:05:31" 00 100000.00
000001230529000714000263110762 "2023-05-29 00:05:40" 00 360000.00
000001230529000715000263110761 "2023-05-29 00:05:37" 00 20000.00
000001230529000716000263110763 "2023-05-29 00:05:42" 00 3500.00
000001230529000717000263110764 "2023-05-29 00:05:48" 00 10000.00
000001230529000717000263110765 "2023-05-29 00:05:41" 00 7000.00
000001230529000717000263110766 "2023-05-29 00:05:44" 00 370000.00
000001230529000720000263110768 "2023-05-29 00:05:45" 00 1000.00
000001230529000721000263110767 "2023-05-29 00:05:44" 00 2000.00
000001230529000721000263110769 "2023-05-29 00:05:46" 00 1000000.00
000001230529000724000263110772 "2023-05-29 00:05:46" 00 3000.00
000001230529000726000263110774 "2023-05-29 00:05:47" 00 200.00
000001230529000726000263110775 "2023-05-29 00:05:49" 00 2000.00
000001230529000727000263110770 "2023-05-29 00:05:50" 00 20000.00
000001230529000728000263110777 "2023-05-29 00:05:54" 00 20000.00
000001230529000729000263110773 "2023-05-29 00:05:54" 00 500.00
000001230529000729000263110778 "2023-05-29 00:05:52" 00 10000.00
000001230529000729019402163851 "2023-05-29 00:19:25" 00 10500.00
000001230529000732000263110779 "2023-05-29 00:05:59" 00 600.00
000001230529000733000263110780 "2023-05-29 00:05:57" 00 5000.00
000001230529000739000263110783 "2023-05-29 00:06:06" 00 7000.00
000001230529000740000263110782 "2023-05-29 00:06:00" 00 10000.00
000001230529000743000263110784 "2023-05-29 00:06:06" 00 2000.00
000001230529000745000263110785 "2023-05-29 00:06:06" 00 18000.00
000001230529000748000263110787 "2023-05-29 00:06:12" 00 400.00
000001230529000749000263110790 "2023-05-29 00:06:12" 00 67000.00
000001230529000750000263110789 "2023-05-29 00:06:14" 00 5000.00
000001230529000753000263110791 "2023-05-29 00:06:16" 00 2100.00
000001230529000753000263110792 "2023-05-29 00:06:15" 00 1500000.00
000001230529000756000263110793 "2023-05-29 00:06:18" 00 2500.00
000001230529000757000263110794 "2023-05-29 00:06:17" 00 22300.00
000001230529000757000263110795 "2023-05-29 00:06:21" 00 500.00
000001230529000757000263110796 "2023-05-29 00:06:21" 00 80000.00
000001230529000802000263110798 "2023-05-29 00:06:24" 00 90000.00
000001230529000803000263110797 "2023-05-29 00:06:24" 00 500000.00
000001230529000803000263110800 "2023-05-29 00:06:29" 00 2000.00
000001230529000804000263110799 "2023-05-29 00:06:28" 00 20000.00
000001230529000805000263110801 "2023-05-29 00:06:28" 00 45000.00
000001230529000805000263110802 "2023-05-29 00:06:28" 00 45000.00
000001230529000807070802259196 "2023-05-29 00:08:12" 00 2000.00
000001230529000808000263110803 "2023-05-29 00:06:31" 00 1000.00
000001230529000809000263110804 "2023-05-29 00:06:30" 00 14000.00
000001230529000811000263110805 "2023-05-29 00:06:35" 00 10000.00
000001230529000812000263110806 "2023-05-29 00:06:33" 00 20000.00
000001230529000813000263110807 "2023-05-29 00:06:37" 00 4000.00
000001230529000815000263110809 "2023-05-29 00:06:38" 00 500.00
000001230529000820000263110808 "2023-05-29 00:06:46" 00 900.00
000001230529000820000263110810 "2023-05-29 00:06:44" 00 6000.00
000001230529000820000263110811 "2023-05-29 00:06:42" 00 56000.00
000001230529000820000263110812 "2023-05-29 00:06:44" 00 1500.00
000001230529000822000263110813 "2023-05-29 00:06:47" 00 40000.00
000001230529000822000263110814 "2023-05-29 00:06:49" 00 15000.00
000001230529000823000263110816 "2023-05-29 00:06:45" 00 5000.00
000001230529000825000263110817 "2023-05-29 00:06:48" 00 2200.00
000001230529000827000263110818 "2023-05-29 00:06:53" 00 10000.00
000001230529000828000263110819 "2023-05-29 00:06:52" 00 8500.00
000001230529000829067902160916 "2023-05-29 00:09:25" 00 10000.00
000001230529000831000263110820 "2023-05-29 00:06:56" 00 2000.00
000001230529000831000263110821 "2023-05-29 00:06:51" 00 4200.00
000001230529000832000263110822 "2023-05-29 00:06:55" 00 9999.00
000001230529000832000263110824 "2023-05-29 00:07:02" 00 10000.00
000001230529000832201168691485 "2023-05-29 00:06:50" 00 3000.00
000001230529000836000263110826 "2023-05-29 00:07:00" 00 15000.00
000001230529000839000263110827 "2023-05-29 00:07:04" 00 4000.00
000001230529000841000263110825 "2023-05-29 00:07:19" 00 2500.00
000001230529000843000263110247 "2023-05-29 00:07:07" 00 2990000.00
000001230529000845000263110828 "2023-05-29 00:07:07" 00 37000.00
000001230529000847000263110829 "2023-05-29 00:07:08" 00 6000.00
000001230529000847000263110830 "2023-05-29 00:07:11" 00 7000.00
000001230529000847000263110831 "2023-05-29 00:07:08" 00 500000.00
000001230529000849000263110832 "2023-05-29 00:07:10" 00 20000.00
000001230529000849000263110833 "2023-05-29 00:07:13" 00 50000.00
000001230529000852000263110834 "2023-05-29 00:07:18" 00 600.00
000001230529000852000263110836 "2023-05-29 00:07:15" 00 5000.00
000001230529000853000263110837 "2023-05-29 00:07:14" 00 20000.00
000001230529000855000263110835 "2023-05-29 00:07:20" 00 200000.00
000001230529000856000263110838 "2023-05-29 00:07:24" 00 10000.00
000001230529000858000263110839 "2023-05-29 00:07:29" 00 30000.00
000001230529000858000263110840 "2023-05-29 00:07:19" 00 2000.00
000001230529000859000263110841 "2023-05-29 00:07:22" 00 500000.00
000001230529000901000263110842 "2023-05-29 00:07:26" 00 20000.00
000001230529000902000263110844 "2023-05-29 00:07:25" 00 1200.00
000001230529000902000263110845 "2023-05-29 00:07:26" 00 200000.00
000001230529000909000263110846 "2023-05-29 00:07:37" 00 20000.00
000001230529000909000263110848 "2023-05-29 00:07:33" 00 20000.00
000001230529000913000263110849 "2023-05-29 00:07:35" 00 1250.00
000001230529000913000263110850 "2023-05-29 00:07:37" 00 11000.00
000001230529000917000263110851 "2023-05-29 00:07:45" 00 200000.00
000001230529000918091702552649 "2023-05-29 00:09:22" 00 150.00
000001230529000920000263110852 "2023-05-29 00:07:42" 00 700.00
000001230529000920000263110853 "2023-05-29 00:07:48" 00 5000.00
000001230529000924000263110855 "2023-05-29 00:07:45" 00 20000.00
000001230529000925000263110856 "2023-05-29 00:08:04" 00 15000.00
000001230529000925000263110858 "2023-05-29 00:07:48" 00 107000.00
000001230529000927000263110859 "2023-05-29 00:07:51" 00 4000.00
000001230529000927000263110860 "2023-05-29 00:07:56" 00 26000.00
000001230529000928000263110857 "2023-05-29 00:07:55" 00 72450.00
000001230529000928021802116825 "2023-05-29 00:09:32" 00 5000.00
000001230529000929000263110854 "2023-05-29 00:08:02" 00 10000.00
000001230529000930000263110862 "2023-05-29 00:07:53" 00 1000.00
000001230529000930000263110863 "2023-05-29 00:07:53" 00 2500.00
000001230529000931040702264207 "2023-05-29 00:09:35" 00 10000.00
000001230529000936000263110866 "2023-05-29 00:08:00" 00 10000.00
000001230529000937000263110864 "2023-05-29 00:08:01" 00 10000.00
000001230529000937000263110867 "2023-05-29 00:08:02" 00 5500.00
000001230529000938000263110861 "2023-05-29 00:08:04" 00 102000.00
000001230529000938000263110868 "2023-05-29 00:08:05" 00 1500.00
000001230529000939000263110865 "2023-05-29 00:08:02" 00 3000.00
000001230529000942000263110869 "2023-05-29 00:08:02" 00 900.00
000001230529000942000263110872 "2023-05-29 00:08:05" 00 23000.00
000001230529000942002802597594 "2023-05-29 00:29:27" 00 32500.00
000001230529000943000263110871 "2023-05-29 00:08:05" 00 2000.00
000001230529000944000263110873 "2023-05-29 00:08:12" 00 7000.00
000001230529000946000263110874 "2023-05-29 00:08:08" 00 10800.00
000001230529000946000263110875 "2023-05-29 00:08:08" 00 10000.00
000001230529000947000263110877 "2023-05-29 00:08:11" 00 20000.00
000001230529000948000263110876 "2023-05-29 00:08:09" 00 20000.00
000001230529000949000263110870 "2023-05-29 00:09:44" 00 20000.00
000001230529000949000263110878 "2023-05-29 00:08:10" 00 2950.00
000001230529000950000263110879 "2023-05-29 00:08:16" 00 800.00
000001230529000951000263110880 "2023-05-29 00:08:17" 00 100000.00
000001230529000953000263110881 "2023-05-29 00:08:17" 00 5000.00
000001230529000953000263110883 "2023-05-29 00:08:19" 00 4000.00
000001230529000954000263110882 "2023-05-29 00:08:17" 00 200.00
000001230529000954000263110884 "2023-05-29 00:08:20" 00 20000.00
000001230529000958000263110885 "2023-05-29 00:08:24" 00 8000.00
000001230529000959000263110888 "2023-05-29 00:08:24" 00 1000.00
